type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
normal,2,32,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1099.6833333333334,0.20821533144530313,1.5355569430896774,255.49089285791248,0.2710643670573227,1.969699,1.537402982432638,1.533727115644616,0.0,0.0,0.0,0.0,0.0
mrv,2,32,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1077.9833333333333,0.08893834603411599,1.737764724609224,160.89546606414987,0.3271742236801718,2.349802,1.7202385379619607,1.7552860344422458,18.56776556776557,32.507936507936506,0.06066472848641498,0.07401941720192041,0.008111806098514465
normal,2,128,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1233.9,0.06516825557169015,1.5428580556230922,282.0381038086874,0.2521949943580126,1.89862,1.5442153223996313,1.5415101430071343,0.0,0.0,0.0,0.0,0.0
mrv,2,128,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1124.3833333333334,0.0605347444645592,1.698469487230037,219.91136775225297,0.33650945014736366,2.309945,1.6745109121356212,1.7226098691524818,39.39784946236559,71.93442622950819,0.015596778384049208,0.03425342590279074,0.009340632364493322
normal,2,512,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1234.2,0.01770862350272595,1.5816929749635391,172.85176308039206,0.34438610099766837,2.272901,1.5816062692871093,1.581778925217812,0.0,0.0,0.0,0.0,0.0
mrv,2,512,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1207.95,0.016527579890087574,1.6162244248934146,255.4398069996139,0.43594179743458056,2.215296,1.6101259066151083,1.622311678264226,109.68932038834951,87.03333333333333,0.009426158670613721,0.042206394001400666,0.007550303959003216
normal,2,2048,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1291.9333333333334,0.004251930067953769,1.4797845698823469,286.62324864997714,0.22955172930616866,1.677316,1.4793597679851953,1.4802126505737006,0.0,0.0,0.0,0.0,0.0
mrv,2,2048,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1058.5166666666667,0.004326900465612127,1.8141944279101259,299.5222089706649,0.4743098916245331,2.513319,1.8067191953831658,1.8217095491143316,246.2192513368984,130.5344827586207,0.0017702784304677096,0.0810633979839445,0.0016954329570484583
normal,8,1,uniform,100,uniform,3,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,847.1666666666666,0.8749323360070862,1.1784365890812512,184.6261267173925,0.4722360458657682,1.307194,1.1763017744233646,1.180569892306482,0.0,0.0,0.0,0.0,0.0
mrv,8,1,uniform,100,uniform,3,8192,3,4,false,8,all,minmax,100,1,10,1000,linear,1000,100,4682.416666666667,0.05806916668063633,1.623001110608838,657.5851339053623,0.38286273955334416,1.992747,1.620317611427072,1.6257054558168784,8.826890756302522,10.430769230769231,0.11985336686655071,0.11985336686655071,0.15396578538102643
