type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
mrv,2,1,uneven,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1249.9166666666667,0.04557371207493377,1.5462297327288486,221.12184951590228,0.32586096517119495,1.982806,1.5580517325102883,1.5461136871919856,1.294209702660407,3.8153846153846156,0.06870103950190086,0.06870103950190086,0.050505050505050504
normal,2,2,uneven,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1098.85,0.33284424836072213,1.3121336129893373,260.1491168541612,0.3646698536243956,1.719579,1.3049648012618296,1.3122032184327,0.0,0.0,0.0,0.0,0.0
mrv,2,2,uneven,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1296.6,0.03982819693173545,1.4974360595403362,264.41708719369865,0.29604769284075966,1.714864,1.5024474194756556,1.4973839249951297,1.4592476489028212,3.9384615384615387,0.053578823884007934,0.0615271008061947,0.036490683229813664
normal,2,8,uneven,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1184.3166666666666,0.11253902835019358,1.5527195074656273,346.7634356925963,0.42217305610723144,2.379914,1.5384197358208955,1.5528556203099917,0.0,0.0,0.0,0.0,0.0
mrv,2,8,uneven,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1290.4,0.0313887881100422,1.5135379298796239,270.8689055613434,0.2802205008597114,1.746441,1.52686135667107,1.5134063760940168,3.3498402555910545,4.969230769230769,0.05317977210028835,0.061128609880204056,0.010011664074650078
normal,2,32,uneven,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1310.7333333333333,0.03138240220711397,1.4894850114058287,285.8209719387295,0.2648182546108634,1.723899,1.4892426434108528,1.4894874204571722,0.0,0.0,0.0,0.0,0.0
mrv,2,32,uneven,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1213.85,0.026180320635387555,1.613824427194464,350.77288236122246,0.40603843712166654,2.370804,1.627282831043956,1.6136885421688418,11.1786941580756,35.888888888888886,0.01900507703467175,0.04505210961572276,0.012105416991426345
normal,2,128,uneven,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1285.6333333333334,0.008241299065300356,1.5404778560761234,223.44950809224585,0.36299857792408574,2.111461,1.5470834127182047,1.540408456887969,0.0,0.0,0.0,0.0,0.0
mrv,2,128,uneven,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1322.35,0.007927477336667654,1.4975393442734526,256.8140630884532,0.2842796880195419,1.687504,1.4993229005376343,1.4975224611117472,37.43312101910828,38.74603174603175,0.012903820965081017,0.04482873688391549,0.011969778605015673
normal,2,512,uneven,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1363.5,0.0019275814952176562,1.4451200322943405,267.1128862484924,0.22932199083982693,1.610394,1.4467335817535547,1.4451032124472,0.0,0.0,0.0,0.0,0.0
mrv,2,512,uneven,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,1000,linear,1000,100,1266.6,0.002231967019404979,1.5563929982630667,306.2472726409168,0.3681778749536177,2.13662,1.586444397622193,1.556090642977711,172.7058823529412,86.06666666666666,0.0024119354427092083,0.03696137908343329,0.002401075080192462
