clients,size,initialStock,amountLimit,isolation,noCollisions,adjustAlgorithm,time,nodes,ar
8,256,8192,3,4,false,linear,70314,390,0.035588752196836555
8,256,8192,3,4,false,linear,30126,307,0.01445578231292517
8,256,8192,3,4,false,linear,97454,365,0.029787234042553193
8,256,8192,3,4,false,linear,122549,409,0.006269592476489028
8,256,8192,3,4,false,linear,172726,352,0.013544018058690745
8,256,8192,3,4,false,linear,4021,316,0.0099361249112846
8,256,8192,3,4,false,linear,17081,297,0.0
8,256,8192,3,4,false,linear,160699,331,0.018011776931070315
8,256,8192,3,4,false,linear,82363,375,0.025618567987738122
8,256,8192,3,4,false,linear,43195,322,0.020512820512820513
8,256,8192,3,4,false,linear,109501,397,0.030691612360731552
8,256,8192,3,4,false,linear,134588,325,0.014581734458940905
8,256,8192,3,4,false,linear,146620,331,0.01896664486592544
8,256,8192,3,4,false,linear,55233,313,0.017532252729077075
8,256,8192,3,4,false,linear,69312,384,0.027548209366391185
8,256,8192,3,4,false,linear,29122,322,0.016902944383860415
8,256,8192,3,4,false,linear,42178,327,0.014391143911439114
8,256,8192,3,4,false,linear,96453,370,0.02634297520661157
8,256,8192,3,4,false,linear,121547,382,0.016216216216216217
8,256,8192,3,4,false,linear,3019,303,0.01854066985645933
8,256,8192,3,4,false,linear,81354,369,0.033618677042801554
8,256,8192,3,4,false,linear,68301,397,0.026845637583892617
8,256,8192,3,4,false,linear,159692,379,0.011627906976744186
8,256,8192,3,4,false,linear,171724,321,0.01862348178137652
8,256,8192,3,4,false,linear,16080,297,0.012455516014234875
8,256,8192,3,4,false,linear,145618,370,0.015503875968992248
8,256,8192,3,4,false,linear,95440,393,0.02817144832353958
8,256,8192,3,4,false,linear,133584,320,0.01749271137026239
8,256,8192,3,4,false,linear,108498,417,0.024024024024024024
8,256,8192,3,4,false,linear,54230,337,0.012232415902140673
8,256,8192,3,4,false,linear,41175,335,0.016427718040621268
8,256,8192,3,4,false,linear,28121,325,0.017836370686312525
8,256,8192,3,4,false,linear,120539,393,0.028780610956829083
8,256,8192,3,4,false,linear,80351,369,0.03576982892690513
8,256,8192,3,4,false,linear,158684,331,0.018199233716475097
8,256,8192,3,4,false,linear,2016,292,0.016129032258064516
8,256,8192,3,4,false,linear,67297,382,0.027405602923264313
8,256,8192,3,4,false,linear,170721,315,0.014040561622464899
8,256,8192,3,4,false,linear,15077,313,0.012572290671360321
8,256,8192,3,4,false,linear,132583,302,0.01737921445950643
8,256,8192,3,4,false,linear,94438,417,0.028135048231511254
8,256,8192,3,4,false,linear,107494,387,0.03438256658595642
8,256,8192,3,4,false,linear,144616,325,0.024008350730688934
8,256,8192,3,4,false,linear,53228,313,0.013501350135013501
8,256,8192,3,4,false,linear,40173,335,0.014218009478672985
8,256,8192,3,4,false,linear,27119,320,0.017053807703616582
8,256,8192,3,4,false,linear,157677,325,0.015738498789346248
8,256,8192,3,4,false,linear,119537,394,0.032797747225443104
8,256,8192,3,4,false,linear,14065,328,0.013568129330254041
8,256,8192,3,4,false,linear,66290,370,0.028882321332616874
8,256,8192,3,4,false,linear,79349,378,0.03246433841613379
8,256,8192,3,4,false,linear,1013,256,0.019756838905775075
8,256,8192,3,4,false,linear,169719,318,0.014164305949008499
8,256,8192,3,4,false,linear,93430,384,0.03480825958702065
8,256,8192,3,4,false,linear,65274,362,0.030109489051094892
8,256,8192,3,4,false,linear,131576,320,0.010616929698708751
8,256,8192,3,4,false,linear,156664,321,0.014655172413793103
8,256,8192,3,4,false,linear,106492,372,0.03382610874467552
8,256,8192,3,4,false,linear,143612,329,0.013259668508287293
