type,clients,size,opDistribution,unevenScale,accessDistribution,productsAccessed,initialStock,amountLimit,isolation,noCollision,initialNodes,workers,balanceAlgorithm,balanceDelta,balanceMinmaxK,balanceMinDiff,balanceWindow,adjustAlgorithm,adjustDelta,adjustWindow,tx/s,ar,rt,tx/s_err,rt_err,rt_95,rt_add,rt_sub,balance_time,adjust_time,variation,max_avg_variation,zeros
mrv,1,2048,uniform,100,uniform,1,8192,3,4,false,1,all,minmax,100,1,10,100,linear,1000,100,57.416666666666664,0.0,17.076296209869376,12.761360951455508,3.936525346610664,23.989589,14.370326210280373,19.749476036353144,60.23097112860892,48.806451612903224,0.0,0.0,0.0
normal,2,1,uniform,100,uniform,1,8192,3,4,false,2,all,minmax,100,1,10,100,linear,1000,100,65.16666666666667,0.30439423590108516,15.833950937851663,7.848991442641952,5.165525550173291,22.921448,14.007036160650737,17.683431826556873,0.0,0.0,0.0,0.0,0.0
mrv,2,1,uniform,100,uniform,1,8192,3,4,false,4,all,minmax,100,1,10,100,linear,1000,100,126.31666666666666,0.033537362917623104,14.417234823591501,22.136643828728868,4.0725487410067425,21.172075,12.267920301211165,16.576213018778102,13.560296846011132,40.84126984126984,0.07406838905538672,0.07406838905538672,0.04913557779799818
normal,2,2,uniform,100,uniform,1,8192,3,4,false,4,all,minmax,100,1,10,100,linear,1000,100,70.38333333333334,0.20320754716981138,18.278369189438784,18.013744752271805,5.25135397807327,27.935385,15.958958275568182,20.59887882946471,0.0,0.0,0.0,0.0,0.0
mrv,2,2,uniform,100,uniform,1,8192,3,4,false,4,all,minmax,100,1,10,100,linear,1000,100,133.76666666666668,0.03219582780658392,13.68644143483678,23.257199602130374,3.989867258738183,20.211179,11.563206141035074,15.878497725753355,30.93404255319149,53.903225806451616,0.09120577441209334,0.09523844844744832,0.05654496883348174
normal,2,8,uniform,100,uniform,1,8192,3,4,false,4,all,minmax,100,1,10,100,linear,1000,100,100.23333333333333,0.06440572495332919,17.150819263219155,21.942014492748836,5.103941655370446,25.612651,14.487860653947369,19.872875138197713,0.0,0.0,0.0,0.0,0.0
mrv,2,8,uniform,100,uniform,1,8192,3,4,false,4,all,minmax,100,1,10,100,linear,1000,100,131.15,0.043515254649325374,13.593424837590545,35.16974552083082,5.139340114719191,22.116093,11.626546649553001,15.540902861406172,61.286821705426355,165.71428571428572,0.19584513408864643,0.26736305858026,0.07726075504828797
normal,2,32,uniform,100,uniform,1,8192,3,4,false,4,all,minmax,100,1,10,100,linear,1000,100,148.55,0.01535572249226691,12.890492374509144,28.78470079747225,3.049745323181161,17.244201,10.8906098557407,14.823741561341572,0.0,0.0,0.0,0.0,0.0
mrv,2,32,uniform,100,uniform,1,8192,3,4,false,4,all,minmax,100,1,10,100,linear,1000,100,141.98333333333332,0.0153721682847896,13.450515600892123,34.206768336105654,4.383959611876052,22.833672,11.804009694883282,15.082781039738196,59.202597402597405,188.96428571428572,0.08292204889393816,0.1636453024308605,0.03583219489981785
normal,2,128,uniform,100,uniform,1,8192,3,4,false,4,all,minmax,100,1,10,100,linear,1000,100,121.48333333333333,0.004370987570004092,16.190717318425023,27.671242593469966,3.532638655546018,22.049144,13.602337558635986,18.72637342748506,0.0,0.0,0.0,0.0,0.0
